filename,filesize,modified,errors,md5,namespace,id,format,version,mime,basis,warning
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]Mountain-ResearchandDevelopment-Nov.2007.pdf,762294,2015-09-10T10:50:24-04:00,,29b89a949d03012838c75527c0856c6c,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [762288 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Clot]UNISDR_BriefingAdaptationtoClimateCh-PACC.pdf,1960249,2015-09-10T10:50:24-04:00,,461ddf9f9c9bf8153ebfd264be28f98f,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [1960242 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Conway]IPCC SREX review notes-Chapter 3.doc,34816,2015-09-10T10:50:24-04:00,,b4cba46e0dbef16e82d9623178b79be3,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 85, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Jentsch]Kreyling et al_2008_Ecosystems_ANPP_Cover.pdf,209163,2015-09-10T10:50:24-04:00,,d93d6e7d89a5b4ed97a1c405e4058696,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [209157 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Jentsch]Kreyling_et_al_2008_Oikos_Invasibility.pdf,563599,2015-09-10T10:50:24-04:00,,7f95c8b4a20b43c6f0677f38b7cb8b4e,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [563593 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Jentsch]Simulating the Future_Responses to Ecosystems.pdf,662942,2015-09-10T10:50:24-04:00,,e7ee4941d2ca0dac86f34d30e0ddb4e7,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [662936 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Jentsch]White Jentsch 2001 Disturbance Ecology Progress in Botany.pdf,2726570,2015-09-10T10:50:24-04:00,,ff5a2b0be682a7210e26ec65c1f7f6b1,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [2726564 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[McInnes]CoastalImpactsStudiesReview.pdf,24199,2015-09-10T10:50:24-04:00,,632c8be8dc46a396e5f39bdbb412c695,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [24193 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Morisugi]Global Warming Impacts_Japan.pdf,1973697,2015-09-10T10:50:24-04:00,,b3f49369523323caf02de439447971ab,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [1973690 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Porfiriev]Supplement file_Table.doc,53760,2015-09-10T10:50:24-04:00,,1342ceb4ec7f58125417b1425b81fb73,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 77, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXFOD/[Zerefos]Attached1(2).doc,93184,2015-09-10T10:50:24-04:00,,9d655e59ed7b40622451868376d0d5e1,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
